Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Total Strokes,Avg. Swolf,Avg Stroke Rate,Dive Time,Min Temp,Surface Interval,Decompression,Best Lap Time,Number of Laps,Max Temp,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Running,2020-12-01 18:23:51,false,"Sydney Running","4.97","292","00:21:45","155","181","157","184","4:23","3:15","52","145","1.45","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:46.20","5","0.0","00:21:42","00:25:06","456","596"
Running,2020-11-26 16:57:14,false,"Sydney Running","5.19","317","00:23:27","156","179","155","169","4:31","3:34","42","145","1.42","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:49.52","6","0.0","00:23:23","00:27:22","348","490"
Running,2020-11-24 17:07:39,false,"Sydney Running","8.02","496","00:37:37","154","179","156","171","4:41","3:40","154","183","1.37","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:06.41","9","0.0","00:37:29","00:46:52","241","431"
Running,2020-11-23 17:31:49,false,"Sydney Running","8.03","526","00:39:23","155","179","154","168","4:54","4:12","157","192","1.32","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:07.07","9","0.0","00:39:11","00:50:22","302","497"
Running,2020-11-17 17:14:04,false,"Sydney Running","8.07","475","00:37:57","147","173","155","169","4:42","3:59","111","189","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:18.47","9","0.0","00:37:49","00:48:26","-23","204"
Running,2020-11-14 07:23:27,false,"Sydney Running","11.26","747","00:54:12","159","185","156","171","4:49","3:46","189","198","1.33","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:15.13","12","0.0","00:53:31","01:09:11","1","143"
Running,2020-11-12 17:35:26,false,"Sydney Running","8.05","556","00:38:36","161","186","154","179","4:48","3:57","130","114","1.35","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:13.19","9","0.0","00:38:28","00:49:20","31","112"
Running,2020-11-09 16:14:24,false,"Sydney Running","6.13","389","00:28:38","154","175","157","179","4:40","3:57","73","76","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:35.51","7","0.0","00:28:20","00:32:48","63","117"
Running,2020-11-04 18:19:37,false,"Sydney Running","5.01","316","00:22:54","153","174","158","181","4:34","3:26","51","49","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.64","6","0.0","00:22:51","00:24:20","84","115"
Running,2020-11-03 17:29:04,false,"Sydney Running","8.11","521","00:39:10","152","182","155","169","4:50","4:08","106","95","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:31.55","9","0.0","00:39:03","00:56:08","38","112"
Running,2020-11-02 17:33:32,false,"Sydney Running","8.01","483","00:38:11","148","175","154","172","4:46","4:03","108","112","1.36","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:02.54","9","0.0","00:37:51","00:50:42","-33","45"
Running,2020-10-27 17:50:05,false,"Sydney Running","4.58","276","00:21:02","148","176","155","167","4:35","4:05","36","90","1.41","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","02:59.78","5","0.0","00:20:59","00:24:57","-13","61"
Running,2020-10-22 08:22:17,false,"Sydney Running","5.28","337","00:24:22","155","182","157","170","4:37","4:06","60","47","1.38","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","01:28.56","6","0.0","00:24:17","00:27:19","60","105"
Running,2020-10-17 06:54:31,false,"Sydney Running","13.94","1,017","01:01:20","179","191","159","175","4:24","3:25","35","130","1.43","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:44.47","14","0.0","01:01:17","01:01:20","-2","101"
Running,2020-10-14 16:49:02,false,"Sydney Running","5.92","383","00:27:36","155","181","154","171","4:40","3:33","42","46","1.39","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","03:39.56","6","0.0","00:27:05","00:31:09","88","114"
Running,2020-10-10 07:25:15,false,"Sydney Running","15.02","1,055","01:11:28","166","186","157","169","4:45","3:47","119","150","1.34","0.0","0.0","0.0","0.0","0.0","--","--","--","0:00","0.0","0:00","No","00:03.71","16","0.0","01:10:49","01:24:52","8","112"
